ID,Matemática,Linguagens,Ciências da Natureza,Ciências Humanas,Redação
1,8.5,7.83,7.92,6.83,8.58
2,8.58,9.0,9.08,8.83,9.17
3,5.92,6.0,5.5,5.83,5.58
4,7.92,8.92,7.92,8.08,8.42
5,9.17,8.75,9.17,9.0,9.33
6,8.92,7.75,8.08,6.83,7.25
7,8.92,9.33,8.92,9.08,9.42
8,7.83,8.67,7.58,8.5,8.25
9,8.92,7.75,8.33,7.33,7.0
10,7.0,8.08,6.92,8.42,8.75
11,8.08,7.58,8.67,7.67,8.0
12,5.75,6.08,6.17,5.5,6.25
13,7.92,9.0,8.08,8.0,8.67
14,7.08,8.67,7.08,8.25,8.67
15,7.75,8.67,7.5,8.5,8.17
16,9.33,6.75,8.58,7.92,7.75
17,5.67,6.08,6.25,6.08,6.33
18,7.92,8.25,7.92,8.33,8.25
19,8.5,7.42,8.25,7.58,6.92
20,9.0,9.0,9.17,9.67,9.33
21,8.0,8.42,7.17,8.33,8.67
22,7.33,8.92,7.33,8.25,8.33
23,8.08,8.42,7.08,8.5,8.5
24,7.67,8.0,7.42,8.42,8.67
25,8.5,7.92,8.75,7.17,8.0
26,7.75,8.42,7.33,8.75,8.92
27,8.0,7.33,8.33,7.75,7.75
28,8.58,7.33,8.67,7.08,7.17
29,5.92,5.67,6.25,6.0,5.92
30,8.42,8.0,8.92,6.92,7.58
31,7.08,8.5,8.17,8.25,8.25
32,7.58,8.75,7.25,8.83,8.25
33,7.92,7.92,9.17,8.08,7.83
34,9.0,6.75,8.17,8.33,7.83
35,9.0,9.0,8.83,8.83,8.92
36,6.75,8.67,7.83,8.67,8.17
37,6.92,8.17,7.25,8.58,8.17
38,7.25,8.58,7.0,8.58,8.58
39,8.08,7.83,8.67,7.42,8.42
40,7.42,8.17,6.75,8.17,8.42
41,6.83,8.75,7.83,7.83,8.67
42,6.75,7.83,8.17,8.33,8.58
43,8.67,8.0,8.75,8.33,8.17
44,6.08,5.83,6.0,6.5,6.17
45,7.75,9.0,8.67,9.0,8.25
46,8.58,8.83,8.83,8.83,9.33
47,7.83,7.17,8.42,7.58,7.42
48,6.83,8.08,8.83,7.67,8.83
49,9.08,7.75,7.92,7.67,7.08
50,8.33,6.42,8.33,6.75,7.92
51,7.33,8.25,8.0,7.92,8.75
52,8.67,9.25,8.83,8.5,8.5
53,8.33,8.58,7.67,8.58,8.58
54,8.0,8.42,7.58,8.25,8.58
55,9.25,8.83,8.83,9.25,8.83
56,8.17,8.58,6.42,9.0,8.0
57,7.83,7.25,8.67,7.58,7.25
58,7.75,8.25,6.25,8.92,8.5
59,6.08,6.08,6.08,5.92,6.08
60,7.92,7.92,7.25,8.58,9.17
61,8.25,7.08,8.42,6.83,7.33
62,8.5,8.33,7.33,8.92,8.42
63,8.17,6.42,9.25,7.67,8.25
64,7.75,8.33,7.58,8.08,8.17
65,7.17,9.08,7.33,8.5,8.75
66,9.08,9.17,9.0,8.92,9.08
67,8.0,9.25,7.17,8.92,8.0
68,8.33,7.75,8.92,7.92,8.0
69,8.58,7.08,8.75,7.42,7.0
70,8.58,7.58,8.67,7.5,7.08
71,7.75,8.42,7.0,8.75,8.08
72,7.0,8.83,7.58,8.33,8.42
73,8.17,7.33,8.08,6.92,7.33
74,8.17,7.58,8.5,7.17,6.83
75,8.92,9.17,8.83,9.0,9.0
76,7.92,9.33,7.58,8.17,8.92
77,8.67,7.75,9.0,7.08,7.08
78,7.25,7.92,7.58,9.08,8.5
79,7.25,8.42,7.08,8.58,9.08
80,6.17,5.83,6.0,6.33,5.75
81,8.33,8.42,8.25,8.0,8.33
82,7.42,8.58,8.08,8.17,8.83
83,6.17,5.92,6.0,5.92,6.0
84,7.08,8.58,7.5,8.42,8.42
85,7.33,8.42,7.42,8.58,7.83
86,8.33,8.42,8.42,7.08,7.17
87,8.17,7.42,8.42,7.42,7.0
88,7.92,8.33,7.5,8.42,8.17
89,8.75,7.75,8.42,7.5,6.75
90,7.08,8.17,7.67,8.25,8.67
91,7.92,7.83,8.92,8.33,7.25
92,8.75,8.0,8.42,7.42,7.58
93,7.08,8.33,6.83,8.58,8.67
94,6.08,6.08,5.67,6.0,5.67
95,7.5,7.92,7.17,8.33,8.67
96,8.17,6.75,8.75,8.25,7.75
97,8.58,7.42,8.75,7.58,7.5
98,7.42,8.75,7.17,8.33,8.75
99,8.33,7.25,8.25,6.92,7.25
100,6.25,8.75,7.42,8.58,8.83
101,8.42,7.08,8.08,7.5,7.33
102,7.5,8.75,7.58,8.58,8.25
103,6.58,7.92,8.0,8.75,8.0
104,7.25,8.92,8.17,8.33,8.67
105,8.75,8.08,8.42,7.58,8.08
106,6.0,5.92,6.08,6.33,5.67
107,7.92,7.42,8.5,6.92,7.67
108,8.75,7.25,8.0,8.08,7.42
109,8.58,8.67,7.75,8.67,8.58
110,7.5,8.42,7.17,7.92,8.5
111,8.42,7.92,8.5,8.08,6.67
112,8.33,7.0,8.5,7.58,7.17
113,5.92,6.08,6.08,5.75,6.0
114,5.67,6.17,5.75,5.83,6.5
115,9.08,8.92,8.83,9.33,9.08
116,7.33,9.0,7.75,9.25,8.83
117,7.25,8.33,7.25,8.33,8.42
118,6.67,8.42,7.67,8.08,8.08
119,8.33,7.75,8.67,7.0,6.83
120,9.17,9.17,9.25,9.25,8.83
121,7.33,8.67,7.08,8.5,8.67
122,7.92,8.25,7.67,7.83,7.5
123,6.67,9.17,7.83,8.58,8.25
124,7.67,8.67,7.75,8.42,8.75
125,9.0,8.0,8.58,8.0,7.75
126,8.75,8.5,9.08,9.25,8.92
