ID,Matemática,Linguagens,Ciências da Natureza,Ciências Humanas,Redação
1,1011010000,1001001101,1001011001,0101010011,1100001110
2,1011100010,1101100001,1101110000,1100110100,1110011100
3,0010000110,0010011101,0000010011,0001100010,0000111100
4,1001001100,1101001110,1001011001,1010000000,1011100111
5,1101101000,1100100110,1110000110,1101011101,1111000010
6,1100110000,1000111010,1010000000,0101010011,0111001110
7,1100110000,1110101110,1101001010,1101110000,1111011000
8,1000111000,1100010011,1000000111,1011100101,1010111110
9,1100110000,1000111010,1010111100,0111001011,0110010001
10,0101111011,1010001000,0101101001,1011010010,1100110111
11,1001110001,1000010010,1100001110,1000011101,1010000010
12,0001011111,0010110000,0010110100,0000010011,0011011101
13,1001001100,1101100001,1010000000,1001101101,1100100011
14,0110001101,1100010011,0110001111,1010101001,1100100011
15,1000100110,1100010011,0111110100,1011100101,1010101011
16,1110001101,0101001110,1011111000,1001011001,1001000110
17,0001001101,0010110000,0011000111,0010011110,0011110000
18,1001001100,1010110000,1001011001,1010111100,1010111110
19,1011010000,0111101100,1010101001,1000000111,0101111110
20,1101000010,1101100001,1110000110,1111111111,1111000010
21,1001011110,1011011000,0110100101,1010111100,1100100011
22,0111000110,1101001110,0111001011,1010101001,1011010010
23,1001110001,1011011000,0110001111,1011100101,1011111011
24,1000010011,1001110101,0111100001,1011010010,1100100011
25,1011010000,1001100010,1100100001,0110100101,1010000010
26,1000100110,1011011000,0111001011,1100100001,1101100000
27,1001011110,0111010111,1010111100,1000110000,1001000110
28,1011100010,0111010111,1100001110,0110001111,0110111010
29,0010000110,0001010000,0011000111,0010001011,0010001110
30,1010111110,1001110101,1101001010,0101101001,1000011101
31,0110001101,1011101011,1010010101,1010101001,1010111110
32,0111111111,1100100110,0110111000,1100110100,1010111110
33,1001001100,1001100010,1110000110,1010000000,1001011001
34,1101000010,0101001110,1010010101,1010111100,1001011001
35,1101000010,1101100001,1100110100,1100110100,1101100000
36,0101000010,1100010011,1001000100,1100001110,1010101011
37,0101101001,1010011101,0110111000,1011111000,1010101011
38,0110110100,1011111110,0101111100,1011111000,1100001110
39,1001110001,1001001101,1100001110,0111100001,1011100111
40,0111011011,1010011101,0101000000,1010010101,1011100111
41,0101010101,1100100110,1001000100,1001000100,1100100011
42,0101000010,1001001101,1010010101,1010111100,1100001110
43,1011110111,1001110101,1100100001,1010111100,1010101011
44,0010101010,0001110101,0010001011,0100000011,0011001010
45,1000100110,1101100001,1100001110,1101011101,1010111110
46,1011100010,1100111001,1100110100,1100110100,1111000010
47,1000111000,0110110001,1011010010,1000000111,0111110111
48,0101010101,1010001000,1100110100,1000011101,1101001010
49,1101010100,1000111010,1001011001,1000011101,0110100101
50,1010101010,0100000000,1010111100,0101000000,1001101111
51,0111000110,1010110000,1001101101,1001011001,1100110111
52,1011110111,1110011100,1100110100,1011100101,1011111011
53,1010101010,1011111110,1000011101,1011111000,1100001110
54,1001011110,1011011000,1000000111,1010101001,1100001110
55,1101111011,1100111001,1100110100,1110011001,1101001010
56,1010000101,1011111110,0011110000,1101011101,1010000010
57,1000111000,0111000100,1100001110,1000000111,0111001110
58,1000100110,1010110000,0011000111,1101001010,1011111011
59,0010101010,0010110000,0010011110,0001111000,0010110100
60,1001001100,1001100010,0110111000,1011111000,1110011100
61,1010010111,0110011100,1011010010,0101010011,0111100001
62,1011010000,1011000011,0111001011,1101001010,1011100111
63,1010000101,0100000000,1110011001,1000011101,1010111110
64,1000100110,1011000011,1000000111,1010000000,1010101011
65,0110100010,1101110011,0111001011,1011100101,1100110111
66,1101010100,1110001001,1101011101,1101001010,1110000110
67,1001011110,1110011100,0110100101,1101001010,1010000010
68,1010101010,1000111010,1101001010,1001011001,1010000010
69,1011100010,0110011100,1100100001,0111100001,0110010001
70,1011100010,1000010010,1100001110,0111110100,0110100101
71,1000100110,1011011000,0101111100,1100100001,1010010101
72,0101111011,1100111001,1000000111,1010111100,1011100111
73,1010000101,0111010111,1010000000,0101101001,0111100001
74,1010000101,1000010010,1011100101,0110100101,0101101001
75,1100110000,1110001001,1100110100,1101011101,1101110011
76,1001001100,1110101110,1000000111,1010010101,1101100000
77,1011110111,1000111010,1101011101,0110001111,0110100101
78,0110110100,1001100010,1000000111,1101110000,1011111011
79,0110110100,1011011000,0110001111,1011111000,1110000110
80,0010111110,0001110101,0010001011,0011011011,0001100101
81,1010101010,1011011000,1010101001,1001101101,1011010010
82,0111011011,1011111110,1010000000,1010010101,1101001010
83,0010111110,0010001011,0010001011,0001111000,0010100001
84,0110001101,1011111110,0111110100,1011010010,1011100111
85,0111000110,1011011000,0111100001,1011111000,1001011001
86,1010101010,1011011000,1011010010,0110001111,0110111010
87,1010000101,0111101100,1011010010,0111100001,0110010001
88,1001001100,1011000011,0111110100,1011010010,1010101011
89,1100001001,1000111010,1011010010,0111110100,0101010101
90,0110001101,1010011101,1000011101,1010101001,1100100011
91,1001001100,1001001101,1101001010,1010111100,0111001110
92,1100001001,1001110101,1011010010,0111100001,1000011101
93,0110001101,1011000011,0101010011,1011111000,1100100011
94,0010101010,0010110000,0000111100,0010001011,0001010001
95,0111101101,1001100010,0110100101,1010111100,1100100011
96,1010000101,0101001110,1100100001,1010101001,1001000110
97,1011100010,0111101100,1100100001,1000000111,1000001010
98,0111011011,1100100110,0110100101,1010111100,1100110111
99,1010101010,0111000100,1010101001,0101101001,0111001110
100,0011010001,1100100110,0111100001,1011111000,1101001010
101,1010111110,0110011100,1010000000,0111110100,0111100001
102,0111101101,1100100110,1000000111,1011111000,1010111110
103,0100011100,1001100010,1001101101,1100100001,1010000010
104,0110110100,1101001110,1010010101,1010111100,1100100011
105,1100001001,1010001000,1011010010,1000000111,1010010101
106,0010011000,0010001011,0010011110,0011011011,0001010001
107,1001001100,0111101100,1011100101,0101101001,1000110011
108,1100001001,0111000100,1001101101,1010000000,0111110111
109,1011100010,1100010011,1000110000,1100001110,1100001110
110,0111101101,1011011000,0110100101,1001011001,1011111011
111,1010111110,1001100010,1011100101,1010000000,0101000010
112,1010101010,0110001001,1011100101,1000000111,0110111010
113,0010000110,0010110000,0010011110,0001001111,0010100001
114,0001001101,0011000101,0001001111,0001100010,0100011001
115,1101010100,1101001110,1100110100,1110101101,1110000110
116,0111000110,1101100001,1000110000,1110011001,1101001010
117,0110110100,1011000011,0110111000,1010111100,1011100111
118,0100110000,1011011000,1000011101,1010000000,1010010101
119,1010101010,1000111010,1100001110,0101111100,0101101001
120,1101101000,1110001001,1110011001,1110011001,1101001010
121,0111000110,1100010011,0110001111,1011100101,1100100011
122,1001001100,1010110000,1000011101,1001000100,1000001010
123,0100110000,1110001001,1001000100,1011111000,1010111110
124,1000010011,1100010011,1000110000,1011010010,1100110111
125,1101000010,1001110101,1011111000,1001101101,1001000110
126,1100001001,1011101011,1101110000,1110011001,1101100000
127,0111000110,1010110000,1001101101,1010101001,1100110111
128,0110100010,1011101011,0111001011,1100110100,1101001010
129,1010111110,0111010111,1101110000,0101111100,1100001110
130,0110001101,1011011000,0110001111,1010010101,1011111011
131,1000010011,1001110101,0111001011,1101011101,1100001110
132,1010111110,1000111010,1011010010,0011000111,0101000010
133,0001011111,0001010000,0010110100,0001100010,0000010101
134,1101010100,0111000100,1010101001,1001000100,0101101001
135,1000100110,1100100110,1001011001,1100001110,1100110111
136,0101010101,1011011000,1010000000,1011010010,1011010010
137,0101010101,1011101011,1010010101,1100100001,1101001010
138,0111000110,1110001001,1001101101,1000011101,1101110011
139,1101000010,1100111001,1100110100,1101011101,1111111111
140,1010101010,1010001000,1100001110,0110111000,1001011001
141,1011110111,1000100111,1010010101,0111001011,0110111010
142,1010101010,1011101011,1010000000,1011111000,1010111110
143,1000111000,1000100111,1000000111,1010101001,1101110011
144,1010101010,1001100010,1010101001,0110111000,0111110111
145,1101101000,1101110011,1110000110,1111000010,1110101111
146,0100001001,0001110101,0010001011,0010001011,0011110000
147,1010010111,1100010011,1010111100,1011100101,1100110111
148,1010000101,0111101100,1110000110,0011000111,0101111110
149,1010101010,0101110110,1101001010,1000110000,0110111010
150,1101010100,1110001001,1110101101,1100100001,1111011000
151,1011010000,1000111010,1011010010,0111110100,1001011001
152,1001011110,1100100110,0101010011,1100100001,1100110111
153,1011010000,1000111010,1011010010,1010111100,0111001110
154,1000010011,1011101011,1000011101,1100001110,1100001110
155,1011100010,0011011000,1001011001,0111001011,1001101111
156,1010000101,1001110101,1100110100,0100000011,1000001010
157,1101000010,0110011100,1010010101,1001011001,0101111110
158,1010000101,0111010111,1010111100,0111100001,1000011101
159,1101111011,1101001110,1011100101,1110101101,1111111111
160,1010010111,1000111010,1001011001,0111001011,1000110011
161,0110100010,1100100110,1000011101,1011100101,1010101011
162,0000000000,0001100010,0010011110,0010001011,0011001010
163,1011110111,1000100111,1010111100,0110111000,0111100001
164,1010101010,1001001101,1011010010,1001011001,0111100001
165,1000100110,1100010011,1000110000,1010111100,1010101011
166,1011010000,1000111010,1011010010,1000000111,1001000110
167,0111111111,1011011000,0111100001,1011111000,1101001010
168,1101111011,1101110011,1111101001,1101110000,1110011100
169,0101000010,0010011101,0001100010,0011011011,0011011101
170,1010111110,1001100010,1010000000,0101010011,0101111110
171,1100110000,1100111001,1110000110,1100110100,1101001010
172,0110110100,1011011000,0101000000,1011111000,1011100111
173,1010010111,1000010010,1011100101,1001000100,0111110111
174,1100001001,0101110110,1010101001,1000000111,1000110011
175,1010010111,1001110101,1011111000,1001000100,1001101111
