ID,Matemática,Física,Biologia,Química,Língua Portuguesa,Língua Inglesa,Artes,Filosofia,Redação,História,Geografia
1,8.75,8.67,7.42,8.33,7.0,7.17,7.75,7.42,7.17,7.58,8.33
2,8.83,8.08,7.42,8.75,7.08,7.83,7.58,6.42,7.5,7.08,8.17
3,8.67,8.5,8.0,8.67,6.75,7.42,6.42,7.75,7.92,7.17,8.67
4,8.75,8.67,9.0,8.25,7.58,7.58,7.58,7.5,7.83,7.5,7.58
5,8.17,8.67,6.92,8.08,8.5,7.5,7.5,8.08,8.67,8.0,7.08
6,8.08,8.67,7.75,8.67,7.75,7.58,7.83,7.5,7.75,7.5,7.25
7,8.92,7.92,6.5,8.25,7.92,8.17,6.5,7.0,7.17,6.92,7.83
8,8.58,8.33,7.0,8.17,7.17,8.0,8.25,7.83,7.08,7.92,7.42
9,8.92,8.17,7.67,8.92,7.92,6.42,6.92,7.25,7.75,7.25,7.08
10,8.17,8.0,8.5,7.83,8.08,7.17,7.75,7.92,6.83,7.42,8.0
11,8.25,9.08,8.5,8.75,7.25,7.5,7.08,8.17,8.25,7.5,8.33
12,8.58,8.67,8.0,8.75,7.25,6.83,6.5,7.92,6.58,7.33,7.75
13,8.42,8.58,7.33,8.25,6.75,7.42,7.25,7.5,7.17,8.08,7.17
14,8.92,8.58,7.08,8.92,8.17,7.33,7.67,8.08,7.75,8.42,7.58
15,8.5,8.67,7.58,9.17,7.67,6.5,7.92,8.08,8.33,6.5,7.0
16,8.33,8.67,8.25,8.5,7.33,7.42,7.83,7.75,7.33,8.5,7.08
17,8.33,8.25,7.42,8.17,7.92,7.67,7.58,7.5,6.33,7.75,7.33
18,8.33,8.42,7.0,8.5,7.42,7.42,8.5,8.25,7.25,7.25,8.75
19,8.17,8.25,7.0,8.5,7.83,7.17,6.83,7.08,7.67,7.58,7.08
20,8.58,8.33,7.33,8.33,8.17,7.0,6.83,7.25,8.5,7.42,7.08
21,8.58,8.33,7.17,8.75,8.25,7.0,7.08,8.25,8.0,8.17,6.75
22,8.75,8.5,6.42,8.25,8.08,8.0,6.67,7.67,7.0,7.08,7.5
23,8.5,8.83,7.58,8.25,6.92,8.5,7.08,8.08,7.25,7.33,7.58
24,8.67,8.75,7.83,8.92,7.92,7.58,7.42,7.75,8.58,6.92,6.83
25,8.42,8.33,7.0,8.33,7.08,7.42,7.08,7.58,7.92,7.17,7.42
26,9.0,8.5,7.0,8.17,7.83,7.92,7.75,7.5,7.5,7.92,6.67
27,9.25,8.42,7.83,8.42,8.33,8.25,7.58,7.33,8.5,7.58,8.0
28,8.17,8.5,7.75,8.67,7.67,7.5,7.42,8.08,6.5,7.08,7.25
29,8.83,7.75,8.42,8.92,8.0,7.83,8.0,6.92,7.17,7.0,7.33
30,8.67,7.92,7.67,8.33,7.0,7.67,7.58,7.92,7.5,7.75,8.75
31,8.0,8.92,7.42,8.58,7.58,7.58,7.25,7.25,7.08,7.5,7.0
32,8.83,8.58,7.58,8.58,8.0,6.58,7.25,7.25,7.83,8.25,7.75
33,8.08,8.75,7.75,8.42,7.92,8.0,7.5,7.67,8.08,7.5,7.92
34,8.42,8.33,7.33,8.17,7.58,8.0,7.75,7.83,7.67,6.25,7.83
35,8.83,8.92,7.25,8.0,7.58,7.0,7.08,7.75,7.08,6.58,7.5
36,9.0,8.25,7.33,8.75,7.08,8.25,8.83,7.25,7.75,6.83,7.67
37,8.42,8.5,7.83,8.67,7.83,6.75,8.25,8.67,7.75,7.0,7.5
38,7.83,8.67,7.08,8.08,6.67,7.92,6.83,8.5,7.83,7.33,7.17
39,9.0,8.08,6.42,8.08,7.92,7.5,7.17,7.08,6.42,7.0,7.0
40,8.25,8.67,7.83,9.08,7.25,7.08,7.08,6.92,7.75,7.25,7.42
41,8.42,8.67,6.83,8.42,6.92,7.33,7.42,6.5,6.92,7.17,7.83
42,8.42,8.67,6.83,8.75,8.25,6.5,7.25,7.92,7.42,7.5,7.83
43,8.33,8.67,7.5,8.58,8.08,7.67,7.67,7.67,7.5,7.67,7.83
44,9.33,8.25,7.33,8.67,7.5,7.42,7.75,8.25,6.75,7.75,7.58
45,9.08,7.83,7.33,8.33,7.25,8.25,7.67,7.67,7.75,6.67,7.67
46,8.58,8.83,6.92,8.33,8.5,7.83,7.67,7.5,7.5,7.0,8.5
47,8.33,8.5,7.17,7.92,7.5,7.25,7.75,7.92,7.67,7.25,8.08
48,8.42,8.5,7.75,9.17,7.42,7.33,7.58,7.67,7.67,6.75,6.92
49,8.58,8.33,7.17,7.92,7.58,8.17,7.75,6.92,7.67,7.5,8.25
50,7.92,8.92,7.75,8.67,7.67,7.5,7.25,7.58,7.33,7.75,7.83
51,8.5,8.5,7.17,8.92,7.75,7.5,7.42,7.08,7.5,7.83,8.08
52,8.42,8.5,8.0,8.25,8.17,7.5,7.92,7.58,6.58,7.75,8.0
53,9.0,8.42,7.67,8.17,7.0,7.25,7.75,8.58,7.5,7.25,6.58
54,8.92,7.75,7.33,8.25,6.92,7.25,6.92,7.17,7.25,7.67,7.42
55,8.75,8.33,6.92,8.42,7.75,7.92,7.25,7.33,7.08,7.67,7.25
56,8.08,8.67,8.17,8.92,7.58,7.33,8.33,7.92,7.42,6.92,8.08
57,8.75,8.17,7.08,8.75,8.17,8.0,8.25,7.58,7.5,8.0,7.25
58,8.25,8.17,7.17,9.08,7.25,7.0,7.33,7.83,7.25,6.42,7.17
59,8.33,8.25,8.42,9.08,8.67,8.33,7.92,7.92,7.92,7.58,6.5
60,8.75,8.25,8.58,8.42,7.92,7.0,7.58,7.33,7.5,7.58,8.08
61,9.08,8.42,6.92,8.25,7.5,8.08,7.83,7.25,8.17,6.58,7.58
62,8.42,8.5,7.08,8.58,7.33,7.17,7.25,7.25,8.33,7.08,8.5
63,8.0,8.92,7.33,8.75,8.08,7.08,7.08,7.25,6.75,7.75,7.75
64,8.75,8.5,7.92,8.67,7.67,7.75,8.58,7.67,6.92,7.33,8.0
65,8.92,8.08,6.42,8.17,7.42,7.17,8.25,8.08,8.0,7.83,7.25
66,8.42,8.5,7.5,9.0,6.5,7.42,7.58,7.08,7.25,6.58,7.33
67,8.75,9.17,7.5,9.17,7.0,6.83,7.08,7.08,7.17,7.42,7.17
68,8.42,8.42,6.92,7.92,6.25,7.92,7.33,7.42,8.08,8.08,8.67
69,8.5,7.83,7.58,8.58,7.67,6.92,7.0,8.25,7.25,7.67,7.42
70,8.83,8.5,7.5,8.67,7.17,7.67,7.75,7.5,7.33,6.83,7.25
71,8.08,8.75,7.33,8.83,7.33,7.42,7.17,8.0,8.25,7.92,6.08
72,8.25,8.42,7.58,8.5,6.67,7.5,8.08,7.08,6.75,7.17,7.58
73,8.42,8.42,7.67,8.5,7.42,8.33,7.83,7.58,8.75,7.83,7.75
74,8.83,8.17,7.08,8.25,6.17,7.25,8.17,7.42,8.08,7.83,7.08
75,8.5,8.17,8.17,8.33,7.58,7.33,7.42,6.83,7.5,7.42,7.75
76,8.75,8.58,8.75,8.67,7.0,7.83,7.42,6.83,8.0,7.83,7.67
77,8.25,8.67,7.58,7.83,7.58,6.83,7.5,7.33,7.25,8.42,8.17
78,8.33,8.0,7.75,8.25,8.08,6.83,7.42,7.75,7.83,7.17,8.17
79,8.5,8.67,8.08,8.92,6.58,8.17,7.5,7.58,7.58,7.5,7.25
80,8.42,8.17,7.08,8.83,8.0,7.58,7.83,8.17,7.58,8.08,7.58
81,8.58,8.75,7.5,8.5,7.67,8.67,8.08,7.5,7.42,7.5,7.83
82,8.25,7.83,7.5,8.08,7.75,7.92,7.42,7.67,7.25,7.33,8.17
83,8.67,8.42,7.25,8.25,6.83,7.75,7.33,7.33,6.42,7.75,7.17
84,9.42,8.58,7.5,8.92,7.42,7.67,6.5,7.5,6.75,7.08,7.75
85,8.42,8.75,7.42,8.25,7.42,7.42,6.92,8.17,7.58,7.5,7.5
86,8.0,8.92,8.33,8.17,7.83,7.17,6.92,7.42,6.92,7.25,8.0
87,8.5,8.75,6.5,8.5,7.33,7.67,7.25,8.17,7.67,6.92,7.83
88,8.08,8.33,7.83,8.75,8.33,7.75,6.67,8.17,8.0,6.92,7.25
